12950	186	0.711423
7261	55	0.687360
18826	73	0.376237
2143	159	0.221586
3701	35	0.187024
16391	181	0.809968
10926	58	0.625605
9023	98	0.249680
7725	192	0.277568
10578	199	0.613240
13604	154	0.876662
495	68	0.142283
12775	102	0.480683
14800	40	0.289529
618	199	0.752373
10721	79	0.185706
6718	189	0.382456
378	97	0.718197
5943	85	0.317353
11132	150	0.824386
17770	3	0.817491
19974	37	0.529365
6988	6	0.915884
15929	200	0.863797
6967	30	0.006680
11773	63	0.105876
17765	112	0.638903
1482	38	0.852690
1792	100	0.101065
7148	19	0.094746
2114	155	0.586895
9921	104	0.703471
10328	50	0.753826
1758	177	0.742038
16054	27	0.376803
5495	179	0.447659
7040	148	0.805082
577	186	0.997246
7652	79	0.338570
17741	69	0.929710
19117	111	0.535195
10204	97	0.258864
4396	102	0.654600
19860	158	0.321486
17434	160	0.582929
8565	167	0.944875
17985	196	0.498501
18166	21	0.675401
5140	22	0.935159
10242	179	0.205405
2168	112	0.558016
14179	93	0.714858
8240	83	0.690381
3169	147	0.300373
7649	138	0.841368
7475	101	0.883240
5594	102	0.470738
1607	86	0.668892
4040	103	0.742642
7143	160	0.208902
16879	148	0.453966
6631	108	0.241301
6229	9	0.496517
1254	108	0.441288
14914	111	0.288270
17087	166	0.695640
5554	131	0.542059
19295	39	0.895229
4195	167	0.604076
8812	152	0.036610
7016	175	0.044044
3459	117	0.246704
17742	139	0.433614
11715	124	0.514874
14572	59	0.876104
13603	20	0.934320
5865	17	0.061477
7901	90	0.665566
9550	28	0.371228
8818	95	0.591487
19358	95	0.897833
6293	178	0.600622
4715	4	0.542116
10233	133	0.737906
10885	66	0.863160
5920	44	0.049892
14297	56	0.393182
13730	189	0.695958
15851	133	0.809019
8695	0	0.930668
13869	144	0.441014
4686	91	0.043768
8688	98	0.009358
4832	109	0.632289
7664	113	0.219566
1599	7	0.509945
10076	192	0.665123
9836	42	0.963684
5887	32	0.973081
13525	178	0.863329
1715	118	0.304858
8788	197	0.198552
8328	128	0.521125
3393	194	0.123299
18225	34	0.671749
18935	159	0.087494
12469	159	0.149055
5621	69	0.731057
9157	154	0.867699
17641	177	0.668034
4390	38	0.624738
11329	34	0.219640
5499	167	0.520337
12478	111	0.116103
6343	16	0.051232
4053	25	0.521076
17325	193	0.574934
1808	135	0.191982
18380	112	0.515162
9920	6	0.688169
11224	64	0.784051
12765	4	0.273081
13558	192	0.000481
7258	170	0.672553
17628	145	0.752705
8508	183	0.644294
14789	77	0.306291
3368	96	0.095664
17711	23	0.436604
3644	34	0.771078
19009	124	0.538823
1992	109	0.265072
6452	106	0.254688
9620	53	0.239657
18940	76	0.088687
13000	44	0.094794
522	90	0.995070
5694	143	0.983546
17917	77	0.354281
2213	179	0.607580
10076	84	0.531305
14226	188	0.316989
11492	20	0.383092
15333	174	0.964610
10863	7	0.681831
14241	177	0.023594
15943	2	0.502293
16351	134	0.188388
15686	34	0.995047
1270	137	0.720730
656	199	0.821471
10884	154	0.185989
16275	20	0.109459
4521	23	0.957892
9294	144	0.355101
14165	6	0.072657
2386	66	0.795075
1838	134	0.778955
3928	48	0.823175
4296	21	0.450580
3829	120	0.222411
17670	198	0.748706
19141	19	0.450744
8346	95	0.986964
7386	42	0.366710
13928	137	0.677727
16045	61	0.197452
13486	22	0.728783
386	40	0.144131
11649	54	0.465085
17154	158	0.165904
13156	198	0.688027
9332	120	0.479768
6280	52	0.674418
16744	114	0.662657
4210	126	0.993684
232	31	0.448600
9963	154	0.344373
15928	41	0.846271
14651	108	0.446497
12642	116	0.512304
6948	54	0.835299
5827	98	0.656739
11599	83	0.407483
14546	85	0.933165
16116	161	0.942263
7239	74	0.765815
12198	83	0.834550
10134	114	0.485851
11617	196	0.397137
19405	7	0.021264
5695	33	0.005761
7181	112	0.923295
17348	112	0.608959
2086	29	0.934247
6435	41	0.655882
10479	21	0.303294
8889	98	0.440708
15922	53	0.357376
15683	13	0.852156
15130	16	0.265542
16665	24	0.495946
9825	134	0.816605
3072	47	0.530799
8594	32	0.852513
4958	144	0.050362
17595	67	0.018774
817	30	0.060197
10131	54	0.640264
1220	52	0.298689
16571	184	0.282204
16578	132	0.135568
8844	117	0.332357
14995	196	0.758639
15288	41	0.502361
1736	69	0.441566
7649	140	0.378900
9808	194	0.992453
11087	89	0.671264
10830	118	0.229309
12381	132	0.159410
17389	161	0.106556
19046	137	0.601165
8204	16	0.073256
19674	31	0.305589
7056	197	0.587789
14590	185	0.918614
17228	24	0.213381
4156	33	0.502422
8524	88	0.317289
15733	48	0.617541
2094	7	0.287310
2904	179	0.994980
1782	107	0.454316
131	176	0.804433
